tweet,labels
Moderna now openly running vaccine experiments on CHILDREN as young as six months old https://t.co/I374icvSz9,rushed
Crimes of Covid Vaccine Maker Pfizer Documented. ⁦@MichelleRempel⁩ read this from a law firm and say you still think we should trust these people. You should be asking why adverse reactions to any vaccine is classified information in Canada ????? https://t.co/VuCM0s7eld,side-effect pharma
@Carlygrishamm They’re already saying that some people who have taken the Pfizer vaccine have already developed symptoms of palsy which makes some parts of your body go numb and you can’t feel them anymore,side-effect
@JessicaNC9 @pfizer That should say #COVID19 vaccine‼️ Not the virus! I ‘rebuke’ that!!! 🥴,none
@AyannaPressley Then you might want to skip #BillGates #Moderna #vaccine because he’s got his fingers in everything including #DominionVotingSystems #Smartmatic,pharma
@DHSCgovuk @MHRAgovuk @pfizer @BioNTech_Group There is consequences of putting this in your body,side-effect
"@IrknessAft @SenRonJohnson @Facebook For some people I know, the vaccine does nothing to increase immunity. We need to know that and why. All adverse outcomes need to be investigated and reported. Bad news educates. So far, the bad outcomes are quite rare, but measurable.",ineffective
"@Worstedjumper @NostalgicDread_ @Lindseyy888 If you've had a #covid19 'vaccine' (2doses), you are as 'protected' as you can be, from a virus with a +99% survival rate. 0.00005% risk to children and 0.1% risk to healthy 65y.o.  To insist healthy 'unvaccinated' people should face restrictions is abhorrent. #NoVaxports",unnecessary mandatory
"Pfizer vaccine trial. Only 8 of the 96 actually received the vaccine, rest got the placebo. #vaccine #whatajoke #Pfizer #CovidVaccine",rushed
"STEP SEVEN- When people start dying from the 4th wave, or really when the Antibody Dependent Enhancement causes cytokine storms that will kill people. They’ll say it’s another Covid mutation worse than before.But blame it on those that were not stupid enough to get the vaccine.",side-effect
How the fuck you catch covid 19 after getting the fucking vaccine Because the the vaccine is snKe oil https://t.co/K4ag07JD48,ineffective
Wow ... finished in March. Less than 3 months after covid existed ... you have to wonder what the vaccine really is dontcha !,rushed
"@thepainterflynn @mariebrod And then what? Where a yellow star and lock them up? Pfizer insists on indemnity. If they're not 100% certain the vaccine is safe, I don't want it in my body. Shouldn't be punished for that.",side-effect pharma
I would have rather gotten covid again than this fucking vaccine holy shit,none
"And second, what else does it do? There has been no published evidence to support the Russian Ministry of Health’s statements that the vaccine generates useful antibodies and has limited side effects.",side-effect
"@YrHenGwrcyn @Peston This lying psychopath is dragged out daily by our MSM. What's going on? Sounds as if he's got financial interests in plugging the Oxford vaccine and bigging up another version of his crackpot ID Card scheme. Please somebody, make him go AWAY!",political
"@arbortender @LotusOak Don't vaccine manufacturers have some kind of legal immunity so that they can not be sued? These bastards have called parents psycho for  raising what we saw with our own eyes.  I knew when my baby got sick in 1990, then dx ""autistic"" it was the vaccine.",pharma side-effect
"@Francesthefoot @itsjillgardner @Pfizer_UK Referring to our bodies as organic vessels. Sorry but you can not defend the criminality pushed on the masses since 1986, when the pharma cabel were given full legal immunity. Look at the maths, look at the sudden growth in all conditions old and new, starting with cancer",pharma
"C.D.C. Tells States How to Prepare for Covid-19 Vaccine by Early November https://t.co/AzSlWnHPbv (I guess I won't see 2021, cause I'm NOT taking this fucking vaccine. Believe that. Fuck these evil sons of bitches! >:-(",none
"@diids_yeg @Alberta4All @alberta_cw @CMOH_Alberta If its that easy for you to obtain the pfizer COVID-19 vax leaflet included in the box by all means post it, you'd be a hero instead of today's twitter prick. We'll wait.... ✌👊🇨🇦 #SCAMDEMIC2020",none
"@Jgcb11 Namaste, the unroll you asked for: PFIZER vaccine. When there is risk, there should always be a choice, with no coercion 👊 FROM THE CDC; 3,150 people… https://t.co/DPq0HwfOa5 Have a good day. 🤖",mandatory
"Tell the daft bugger to fuck off. If you can still get Coronavirus and pass it on after you have had the vaccine, what's the point in introducing this.",ineffective
"Imagine my SHOCK! It's MODERNA THERAPEUTICS, who've miraculously designed a Coronavirus vaccine, ready for clinical trial, in just weeks! Moderna who've received vast grants from Gates for HIV & Zika vaccines previously... Gates who predicted a pandemic! https://t.co/tTeDxERsHO",pharma
"See, I don't believe Fauci is a good man. I've dealt with guys like him in my life. I think he's a horrible petty man who wants the legacy of ""discovering"" a vaccine and doesn't care how many people he kills in the process of manufacturing it. But hey, that's just my opinion.",pharma conspiracy
"@gabitapatita @evoespueblo Yo no tango dinero. Pero soy periodontal con 42 years covering pandemic. No a problem if Bill Gates finance one vaccine. FYI his Moderna not going well in Phase 3, vaccination for 10 billion people nobody can afford it by himself. Worry about health, later capitalism.",ineffective
"@viewspotnz A condition for the sale of their vaccine by Pfizer, is that the company is given FULL INDEMNITY that if they kill or maim anyone them, they wouldn't be held responsible, the government would be.",pharma
"@BBCPolitics This statement is ridiculous, unless the vaccine is to be rolled out without proper testing for safety. There could well be more people die from side effects of the vaccine than are saved from Covid.",rushed side-effect
@NBCNews @DrPanMD Right!😆😆🤮🤮 I highly doubt that any human with half of a functional brain cell will absolutely reject the vaccine made by felonious Pfizer. Only one case of TM and 4 cases of Bells Palsy. Pfizer is already gaslighting! Don’t be fooled! #BeBrave https://t.co/EkwTNDGi5Z,side-effect pharma
"@UKGeorgeJohnson The best chance to fight the virus is to live a healthy lifestyle though, not relying on a vaccine. As for the idea that it can just be eradicated is nonsensical because of the low fatality/high spreading that would be impossible to even measure let alone achieve",unnecessary ineffective
@AlanFreestone @BeckyJohnson222 That young man is possibly going to be the provaxxer who now becomes an antivaxxer due to his vaccine injury. He knows it’s from those damn vaccines. #VaccineInjuries exist. #NoToMandatoryVaccines #MyBodyMyChoice,mandatory side-effect
"@Emilee_Fannon @SenRonJohnson There is something STRANGE about COVID-19. I think it's something that Trump created, don't believe that he ever had it, don't believe he was vacinated for it. something weird is going on, that is why a lot of Blacks are afraid of the vaccine. Trump's vaccine!",political
@michaelberry @thepatriotgirl1 We’re supposed to believe fact checker when we all found out they was lying about everything don’t forget the guy that used to work for Pfizer did a video weeks ago talking about this vaccine that he was already working on a couple years ago and it does cause sterilization,side-effect
